,name,company,category,type,open_source,api_available,api_status,website,source_domain,year,years_since_release
56,Claude 3.7 Sonnet,Anthropic,LLMs & Chat Assistants,multimodal,0,1,api,https://www.anthropic.com,anthropic.com,2023,2
57,Grok-2,xAI,LLMs & Chat Assistants,multimodal,0,1,api,https://x.ai,x.ai,2024,1
58,Mistral Codestral,Mistral AI,LLMs & Chat Assistants,code,1,1,api,https://mistral.ai,mistral.ai,2023,2
59,Code Llama,Meta,LLMs & Chat Assistants,code,1,1,api,https://ai.meta.com/llama/,ai.meta.com,2023,2
60,OpenAI o4-mini,OpenAI,LLMs & Chat Assistants,multimodal,0,1,api,https://platform.openai.com,platform.openai.com,2025,0
61,Llama Guard,Meta,Safety & Guardrails,safety,1,1,api,https://ai.meta.com,ai.meta.com,2023,2
62,Vanna,Vanna AI,Other,productivity,0,1,api,https://www.vanna.ai,vanna.ai,2024,1
63,Dataherald,Dataherald,Other,productivity,0,1,api,https://www.dataherald.com,dataherald.com,2023,2
64,Transformers,Hugging Face,Other,code,1,1,api,https://huggingface.co/docs/transformers,huggingface.co,2018,7
65,Diffusers,Hugging Face,Other,image,1,1,api,https://huggingface.co/docs/diffusers,huggingface.co,2022,3
66,Gradio,Hugging Face,Other,productivity,1,1,api,https://www.gradio.app,gradio.app,2019,6
67,Hugging Face Spaces,Hugging Face,Infra & Inference,infra,1,1,api,https://huggingface.co/spaces,huggingface.co,2021,4
68,ComfyUI,Comfy Org,Image Gen & Editing,image,1,1,api,https://github.com/comfyanonymous/ComfyUI,github.com,2023,2
69,Automatic1111,Community,Image Gen & Editing,image,1,0,unavailable,https://github.com/AUTOMATIC1111/stable-diffusion-webui,github.com,2022,3
70,Krea AI,Krea,Image Gen & Editing,image,0,1,api,https://www.krea.ai,krea.ai,2022,3
71,Leonardo AI,Leonardo.Ai,Image Gen & Editing,image,0,1,api,https://leonardo.ai,leonardo.ai,2022,3
72,Ideogram,Ideogram,Image Gen & Editing,image,0,1,api,https://ideogram.ai,ideogram.ai,2023,2
73,Black Forest Labs FLUX,Black Forest Labs,Image Gen & Editing,image,1,1,api,https://blackforestlabs.ai,blackforestlabs.ai,2024,1
74,Playground AI,Playground,Image Gen & Editing,image,0,1,api,https://playground.com,playground.com,2022,3
75,Luma Dream Machine,Luma AI,Video Gen & Editing,video,0,1,api,https://lumalabs.ai,lumalabs.ai,2024,1
76,Kling AI,Kuaishou,Video Gen & Editing,video,0,1,api,https://klingai.com,klingai.com,2024,1
77,HeyGen,HeyGen,Video Gen & Editing,video,0,1,api,https://www.heygen.com,heygen.com,2022,3
78,Synthesia,Synthesia,Video Gen & Editing,video,0,1,api,https://www.synthesia.io,synthesia.io,2022,3
79,CapCut AI,ByteDance,Video Gen & Editing,video,0,1,api,https://www.capcut.com/ai,capcut.com,2019,6
80,Descript,Descript,Video Gen & Editing,audio,0,1,api,https://www.descript.com,descript.com,2019,6
81,PlayHT,PlayHT,Audio/Music/TTS,audio,0,1,api,https://play.ht,play.ht,2017,8
82,Coqui TTS,Coqui,Audio/Music/TTS,audio,1,1,api,https://coqui.ai,coqui.ai,2021,4
83,Voicemod,Voicemod,Audio/Music/TTS,audio,0,1,api,https://www.voicemod.net,voicemod.net,2014,11
84,OpenAI TTS,OpenAI,Other,audio,0,1,api,https://platform.openai.com,platform.openai.com,2023,2
85,OpenAI Sora,OpenAI,Video Gen & Editing,video,0,0,unavailable,https://openai.com/sora,openai.com,2024,1
86,Adobe Firefly,Adobe,Image Gen & Editing,image,0,1,api,https://www.adobe.com/products/firefly.html,adobe.com,2023,2
87,Adobe Photoshop Generative Fill,Adobe,Image Gen & Editing,image,0,0,unavailable,https://www.adobe.com/products/photoshop.html,adobe.com,2023,2
88,Illustrator Text to Vector,Adobe,Video Gen & Editing,image,0,0,unavailable,https://www.adobe.com/products/illustrator.html,adobe.com,2023,2
89,Canva Magic Design,Canva,Design & UI,design,0,1,api,https://www.canva.com/magic-design/,canva.com,2013,12
90,Tome AI,Tome,Other,productivity,0,1,api,https://tome.app,tome.app,2022,3
91,Gamma,Gamma,Other,productivity,0,1,api,https://gamma.app,gamma.app,2023,2
92,Beautiful.ai,Beautiful.ai,Other,productivity,0,1,api,https://www.beautiful.ai,beautiful.ai,2018,7
93,SlidesAI.io,SlidesAI,Other,productivity,0,1,api,https://www.slidesai.io,slidesai.io,2022,3
94,Blackbox AI,Blackbox,LLMs & Chat Assistants,code,0,1,api,https://www.useblackbox.io,useblackbox.io,2024,1
95,Tabnine,Tabnine,LLMs & Chat Assistants,code,0,1,api,https://www.tabnine.com,tabnine.com,2018,7
96,Codeium,Codeium (Qodo),LLMs & Chat Assistants,code,0,1,api,https://www.codeium.com,codeium.com,2022,3
97,Replit Ghostwriter,Replit,LLMs & Chat Assistants,code,0,1,api,https://replit.com/site/ghostwriter,replit.com,2022,3
98,OpenAI Assistants API,OpenAI,Other,code,0,1,api,https://platform.openai.com/docs/assistants/overview,platform.openai.com,2020,5
99,Anthropic Tool Use,Anthropic,Other,code,0,1,api,https://docs.anthropic.com,docs.anthropic.com,2024,1
100,Google Vertex AI,Google Cloud,Other,infra,0,1,api,https://cloud.google.com/vertex-ai,cloud.google.com,2021,4
101,Azure AI Studio,Microsoft Azure,Other,infra,0,1,api,https://ai.azure.com,ai.azure.com,2023,2
102,AWS Bedrock,Amazon Web Services,Other,infra,0,1,api,https://aws.amazon.com/bedrock/,aws.amazon.com,2023,2
103,LangSmith,LangChain,Evaluation & Benchmarks,infra,0,1,api,https://smith.langchain.com,smith.langchain.com,2023,2
104,TruLens,Arize AI,Evaluation & Benchmarks,infra,1,1,api,https://www.trulens.org,trulens.org,2023,2
105,Ollama,Ollama,Other,infra,1,1,api,https://ollama.com,ollama.com,2023,2
106,LM Studio,LM Studio,Other,infra,0,0,unavailable,https://lmstudio.ai,lmstudio.ai,2023,2
107,WhisperX,Community,Speech-to-Text (ASR),audio,1,1,api,https://github.com/m-bain/whisperX,github.com,2022,3
108,Silero VAD,Silero,Audio/Music/TTS,audio,1,1,api,https://github.com/snakers4/silero-vad,github.com,2020,5
109,Papers with Code SOTA,Papers with Code,Search & RAG,infra,1,1,api,https://paperswithcode.com,paperswithcode.com,2018,7
110,Kaggle Models,Kaggle,Other,infra,1,1,api,https://www.kaggle.com/models,kaggle.com,2023,2
111,OpenHands,OpenHands,Video Gen & Editing,code,1,1,api,https://github.com/All-Hands-AI/OpenHands,github.com,2024,1
112,LlamaGuard 2,Meta,Safety & Guardrails,text,1,1,api,https://ai.meta.com,ai.meta.com,2023,2
